Scientific name;Family;Svenskt namn;Dyntaxa ID number;Establishment;Red-listed;Red-listed values;Time of immigration;Införd;Index of invasive concern;Risk för Invasiv?;Biodiversity relevance (1-8);Antalet andra organismer som är beroende av, eller använder, arten som födokälla, substrat, skydd eller mutualistisk partner.;Nektar produktion (1-7);Heat requirement;Värmekrav klara som lägst (odlingszoner);Cold requirement;Kylkrav (;Temp. optimum;Continentality;Light;Växtnamn;Växtsätt;kontroll;Växtnamn;Medelhöjd (cm);Maxhöjd (cm);Blomningsstart;Blomningsslut;Phenology;Börjar Blomma;Extreme phenology;Sena;Kontroll;Växtnamn;Blommande?;Blomfärg;Kontroll;Ljus;Moisture;Fukt;Soil reaction (pH);pH;Nitrogen (N);Kväve;Phosphorus (P);Fosfor;Salinity;Salttålighet;Grazing/mowing;Bete/slåtter;Soil disturbance;Mark störning;Longevity;Livslängd;Pollinator dependence;Pollinering;Seed dormancy;Vilande frön;Seed bank;Fröbank;Seed disperser;Nitrogen fixation;Photosynthetic pathway;Mycorrhiza;Carnivory;Parasitism;Plantskolor;;1 Siliceous rock;2 Ultrabasic rock;3 Calcareous rock;4 Dry heath;5. Dry meadow;6 Steppic meadow;7 Sand steppe;8 Moist heath;9 Moist meadow;10 Moist calcareous meadow;11 Raised bog;12 Poor/acidic fen;13 Intermediate-rich fen;14 Rich/calcareous fen;15 Tall herb/sedge/reed meadow;16 Oligotrophic water & shores;17 Mesotrophic water & shores;18 Eutrophic water & shores;19 sandy/stony/rocky sea shores;20 Sea shore meadows;21 Base-poor wasteland;22 Base-rich wasteland;23. Arable land;24 Gravelly ground;25 Ruderal;26 Hedgerows, thickets, wood-margins and groves;27 Heath-type deciduous forest;28 Intermediate deciduous forest;29 Herb-rich deciduous forest;30 Alnus glutinosa swamp;31 Fraxinus/Ulmus/Alnus incana swamp;32 Pinus/Betula swamp;33 Picea swamp;34 Heath-type coniferous forest;35 Vaccinium-type coniferous forest;36 Herb-rich coniferous forest;37 Cacareous conifer forest;38 Subalpine Betula forest
Montia arvensis Wallr.;Montiaceae;vårkällört;1064;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;3;13;13. zon 1;4;;5;4;7;Montia arvensis Wallr.;Ört;SANT;Montia arvensis Wallr.;5;20;Juni;Augusti;5;5. S Apr;4;06-aug.;SANT;Montia arvensis Wallr.;Ja;Vit;SANT;7. alltid full sol;5;5. mesisk–fuktig;6;6. subneutral–circumneutral;5;5. måttligt kväverik;3;3. trivs med genomsnittlig fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;5;5. gynnas av viss betning/slåtter, men överlever även i ohanterade habitat;7;7. förökar sig endast i störd/naken jord, kan bestå några år men försvinner gradvis när vegetationen sluter sig;1;strikt ettårig;0c;självbefruktning (främst eller endast);2;ej vilande eller med icke-djup fysiologisk eller fysikalisk viloläge, gror 10–30 dagar efter sådd; ;Ingen data;Passive;Nej;C3;AM;0;Nej;;;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montia fontana L.;Montiaceae;källört;220828;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;3;5;5. zon 9;2;;7;5;6;Montia fontana L.;Ört;SANT;Montia fontana L.;5;20;Juni;Augusti;7;7.S Maj;2;07-juli;SANT;Montia fontana L.;Ja;Vit;SANT;6. sol, men tål viss skugga;7;7. fuktig–våt;4;4. måttligt sur – subneutral;5;5. måttligt kväverik;3;3. trivs med genomsnittlig fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;6;6. starkt gynnad av regelbunden betning/slåtter, men tål några år utan hantering;7;7. förökar sig endast i störd/naken jord, kan bestå några år men försvinner gradvis när vegetationen sluter sig;1;strikt ettårig;0c;självbefruktning (främst eller endast); ;Ingen data;3;långlivad (5–25 år);Passive;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myosotis laxa Lehm.;Boraginaceae;sumpförgätmigej;221543;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;2;2. 6-12;4;5;5. zon 9;3;;8;5;5;Myosotis laxa Lehm.;Ört;SANT;Myosotis laxa Lehm.;10;40;Juni;Augusti;9;9. S Jun;2;07-juli;SANT;Myosotis laxa Lehm.;Ja;Blå;SANT;5. sol-halvskugga;9;9. våt – tillfälligt översvämmad;6;6. subneutral–circumneutral;6;6. måttligt–mycket kväverik;4;4. gynnas av hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;5;5. gynnas av viss betning/slåtter, men överlever även i ohanterade habitat;7;7. förökar sig endast i störd/naken jord, kan bestå några år men försvinner gradvis när vegetationen sluter sig;1;strikt ettårig;0c;självbefruktning (främst eller endast); ;Ingen data;4;semi-permanent (över 25 år);Water;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myosotis scorpioides L.;Boraginaceae;äkta förgätmigej;221546;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;5;7;7. zon 7;4;;8;5;5;Myosotis scorpioides L.;Ört;SANT;Myosotis scorpioides L.;10;40;Juni;Augusti;7;7.S Maj;2;07-juli;SANT;Myosotis scorpioides L.;Ja;Blå;SANT;5. sol-halvskugga;9;9. våt – tillfälligt översvämmad;5;5. subneutral (pH 5.5–6.5);7;7. mycket kväverik;5;5. begränsad till jordar med hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;4;4. trivs i både betade/slungna och ohanterade habitat;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn;1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer; ;Ingen data;3;långlivad (5–25 år);Water;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Myosurus minimus L.;Ranunculaceae;råttsvans;220831;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;2;8;8. zon 6;3;;6;7;6;Myosurus minimus L.;Ört;SANT;Myosurus minimus L.;5;20;Maj;Juni;4;4. B Apr;5;21-aug.;SANT;Myosurus minimus L.;Ja;Vit;SANT;6. sol, men tål viss skugga;6;6. fuktig;6;6. subneutral–circumneutral;7;7. mycket kväverik;4;4. gynnas av hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;6;6. starkt gynnad av regelbunden betning/slåtter, men tål några år utan hantering;8;8. inte konkurrenskraftig i sluten vegetation, kräver markstörning minst vartannat år;1;strikt ettårig;0c;självbefruktning (främst eller endast); ;Ingen data;2;kortvarig (1–5 år);Passive;Nej;C3;AM;0;Nej;;;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myrica gale L.;Myricaceae;pors;222859;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;5;5. 51-100;2;8;8. zon 6;4;;7;4;5;Myrica gale L.;Buske;SANT;Myrica gale L.;50;150;Maj;Juli;5;5. S Apr;4;06-aug.;SANT;Myrica gale L.;Ja;Grön;SANT;5. sol-halvskugga;9;9. våt – tillfälligt översvämmad;4;4. måttligt sur – subneutral;1;1. mkt kvävefattigt;4;4. gynnas av hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;2;2. koloniserar redan etablerad vegetation, konkurrerar framgångsrikt en tid men blir på sikt utkonkurrerad om ingen markstörning sker;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data;1;kortlivad (upp till ett eller sällan två år);;Ja;C3;AM;0;Nej;;;0;0;0;0;0;0;0;2;1;1;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Myriophyllum spicatum L.;Haloragaceae;axslinga;223347;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;1;9;9. zon 5;2;;5;4;7;Myriophyllum spicatum L.;Vattenväxt;SANT;Myriophyllum spicatum L.;50;200;Juli;Augusti;8;8. B Jun;1;22-juni;SANT;Myriophyllum spicatum L.;Ja;Rödaktig;SANT;7. alltid full sol;12;12. djupt permanent vatten;8;8. alkalisk (pH > 7.5);5;5. måttligt kväverik;4;4. gynnas av hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;4;4. trivs i både betade/slungna och ohanterade habitat;2;2. koloniserar redan etablerad vegetation, konkurrerar framgångsrikt en tid men blir på sikt utkonkurrerad om ingen markstörning sker;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast);4;med mellanliggande eller djup fysiologisk eller morfofysiologisk viloläge, gror endast efter minst en period av > 35 dagar med kallstratifiering;1;kortlivad (upp till ett eller sällan två år);Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myriophyllum verticillatum L.;Haloragaceae;kransslinga;223348;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;1;7;7. zon 7;2;;6;7;6;Myriophyllum verticillatum L.;Vattenväxt;SANT;Myriophyllum verticillatum L.;30;150;Juli;Augusti;10;10. B Jul;3;22-juli;SANT;Myriophyllum verticillatum L.;Ja;Grön;SANT;6. sol, men tål viss skugga;12;12. djupt permanent vatten;7;7. circumneutral (pH 6.5–7.5);8;8. begränsad till naturligt mycket kväverika jordar;5;5. begränsad till jordar med hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;4;4. trivs i både betade/slungna och ohanterade habitat;2;2. koloniserar redan etablerad vegetation, konkurrerar framgångsrikt en tid men blir på sikt utkonkurrerad om ingen markstörning sker;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nasturtium × sterile (Airy Shaw) Oefelein;Brassicaceae;vinterfräne;220564;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;3;13;13. zon 1;1;;2;4;7;Nasturtium × sterile (Airy Shaw) Oefelein;Vattenväxt;SANT;Nasturtium × sterile (Airy Shaw) Oefelein;10;50;Juni;Augusti; ;Ingen data; ;Ingen data;SANT;Nasturtium × sterile (Airy Shaw) Oefelein;Ja;Vit;SANT;7. alltid full sol;9;9. våt – tillfälligt översvämmad;7;7. circumneutral (pH 6.5–7.5);8;8. begränsad till naturligt mycket kväverika jordar;5;5. begränsad till jordar med hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;4;4. trivs i både betade/slungna och ohanterade habitat;5;5. kräver markstörning för förökning, men etablerade individer kan bestå länge (årtionden–århundraden) i ostörd vegetation;4;långlivad perenn;0a;vegetativt förökad genom fragmentering eller klonal tillväxt (främst eller endast); ;Ingen data; ;Ingen data;Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.;Brassicaceae;bäckfräne;1394;Resident;CR;4;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;3;13;13. zon 1;1;;2;3;7;Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.;Ört;SANT;Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.;10;30;Juni;Augusti; ;Ingen data; ;Ingen data;SANT;Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.;Ja;Vit;SANT;7. alltid full sol;9;9. våt – tillfälligt översvämmad;7;7. circumneutral (pH 6.5–7.5);8;8. begränsad till naturligt mycket kväverika jordar;5;5. begränsad till jordar med hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;4;4. trivs i både betade/slungna och ohanterade habitat;5;5. kräver markstörning för förökning, men etablerade individer kan bestå länge (årtionden–århundraden) i ostörd vegetation;4;långlivad perenn;1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer; ;Ingen data;2;kortvarig (1–5 år);Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nasturtium officinale W. T. Aiton;Brassicaceae;källfräne;1395;Resident;VU;2;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;3;13;13. zon 1;1;;2;4;6;Nasturtium officinale W. T. Aiton;Vattenväxt;SANT;Nasturtium officinale W. T. Aiton;20;60;Juni;September;8;8. B Jun;1;22-juni;SANT;Nasturtium officinale W. T. Aiton;Ja;Vit;SANT;6. sol, men tål viss skugga;10;10. tillfälligt översvämmad;7;7. circumneutral (pH 6.5–7.5);8;8. begränsad till naturligt mycket kväverika jordar;5;5. begränsad till jordar med hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn;0c;självbefruktning (främst eller endast);2;ej vilande eller med icke-djup fysiologisk eller fysikalisk viloläge, gror 10–30 dagar efter sådd;2;kortvarig (1–5 år);Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nuphar lutea (L.) Sm.;Nymphaeaceae;gul näckros;221553;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;2;2. 6-12;4;6;6. zon 8;3;;7;6;6;Nuphar lutea (L.) Sm.;Vattenväxt;SANT;Nuphar lutea (L.) Sm.;50;150;Juli;Augusti;8;8. B Jun;1;22-juni;SANT;Nuphar lutea (L.) Sm.;Ja;Gul;SANT;6. sol, men tål viss skugga;12;12. djupt permanent vatten;6;6. subneutral–circumneutral;6;6. måttligt–mycket kväverik;5;5. begränsad till jordar med hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;4;4. trivs i både betade/slungna och ohanterade habitat; ;Ingen data;4;långlivad perenn;2;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar);4;med mellanliggande eller djup fysiologisk eller morfofysiologisk viloläge, gror endast efter minst en period av > 35 dagar med kallstratifiering;1;kortlivad (upp till ett eller sällan två år);Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Odontites vernus (Bellardi) Dumort.;Orobanchaceae;åkerrödtoppa;221735;Resident;NT;1;0;0. Inhemsk;0;1. Ingen risk;2;2. 6-12;3;10;10. zon 4;3;;5;5;7;Odontites vernus (Bellardi) Dumort.;Ört;SANT;Odontites vernus (Bellardi) Dumort.;10;50;Juli;Augusti;11;11. S Jul;4;06-aug.;SANT;Odontites vernus (Bellardi) Dumort.;Ja;Röd;SANT;7. alltid full sol;5;5. mesisk–fuktig;6;6. subneutral–circumneutral;5;5. måttligt kväverik;4;4. gynnas av hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;8;8. inte konkurrenskraftig i sluten vegetation, kräver markstörning minst vartannat år;1;strikt ettårig;1a;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar);4;med mellanliggande eller djup fysiologisk eller morfofysiologisk viloläge, gror endast efter minst en period av > 35 dagar med kallstratifiering;3;långlivad (5–25 år);Passive;Nej;C3;None;0;Ja;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Odontites vulgaris Moench;Orobanchaceae;gatrödtoppa;221736;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;2;2. 6-12;4;9;9. zon 5;3;;6;6;7;Odontites vulgaris Moench;Ört;SANT;Odontites vulgaris Moench;10;40;Juli;September;11;11. S Jul;4;06-aug.;SANT;Odontites vulgaris Moench;Ja;Röd;SANT;7. alltid full sol;5;5. mesisk–fuktig;6;6. subneutral–circumneutral;4;4. måttligt kvävefattig – måttligt kväverik;4;4. gynnas av hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;8;8. inte konkurrenskraftig i sluten vegetation, kräver markstörning minst vartannat år;1;strikt ettårig;1a;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar); ;Ingen data;3;långlivad (5–25 år);Passive;Nej;C3;None;0;Ja;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Oenanthe aquatica (L.) Poir.;Apiaceae;vattenstäkra;221737;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;5;10;10. zon 4;3;;5;6;4;Oenanthe aquatica (L.) Poir.;Vattenväxt;SANT;Oenanthe aquatica (L.) Poir.;10;60;Juni;Augusti;10;10. B Jul;3;22-juli;SANT;Oenanthe aquatica (L.) Poir.;Ja;Vit;SANT;4. halvskugga-måttlig skugga;10;10. tillfälligt översvämmad;6;6. subneutral–circumneutral;8;8. begränsad till naturligt mycket kväverika jordar;5;5. begränsad till jordar med hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;6;6. förökar sig endast i störd/naken jord, kan bestå i årtionden men försvinner gradvis när vegetationen sluter sig;2;tvåårig eller åtminstone döende efter blomning (hapaxant);1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer; ;Ingen data;2;kortvarig (1–5 år);Passive;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Oenanthe fistulosa L.;Apiaceae;pipstäkra;1098;Resident;EN;3;0;0. Inhemsk;0;1. Ingen risk;2;2. 6-12;5;12;12. zon 2;2;;3;4;6;Oenanthe fistulosa L.;Ört;SANT;Oenanthe fistulosa L.;30;80;Juli;Augusti;10;10. B Jul;3;22-juli;SANT;Oenanthe fistulosa L.;Ja;Vit;SANT;6. sol, men tål viss skugga;10;10. tillfälligt översvämmad;7;7. circumneutral (pH 6.5–7.5);6;6. måttligt–mycket kväverik;3;3. trivs med genomsnittlig fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;6;6. förökar sig endast i störd/naken jord, kan bestå i årtionden men försvinner gradvis när vegetationen sluter sig;4;långlivad perenn;1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer; ;Ingen data;1;kortlivad (upp till ett eller sällan två år);Adh;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ononis spinosa ssp. procurrens;Fabaceae;puktörne;230665;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;5;11;11. zon 3;3;;5;4;6;Ononis spinosa ssp. procurrens;Ört;SANT;Ononis spinosa ssp. procurrens;30;100;Juni;Augusti;9;9. S Jun;2;07-juli;SANT;Ononis spinosa ssp. procurrens;Ja;Rosa;SANT;6. sol, men tål viss skugga;3;3. torr–mesisk;7;7. circumneutral (pH 6.5–7.5);2;2. måttligt–mycket kvävefattig;3;3. trivs med genomsnittlig fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;6;6. starkt gynnad av regelbunden betning/slåtter, men tål några år utan hantering;3;3. förökar sig också i ostörd etablerad vegetation men är knappast konkurrenskraftig där och blir på sikt utkonkurrerad;4;långlivad perenn;1a;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar); ;Ingen data;1;kortlivad (upp till ett eller sällan två år);Expl;Ja;C3;AM;0;Nej;;;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ononis spinosa ssp. spinosa;Fabaceae;busktörne;220857;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;5;13;13. zon 1;4;;5;4;7;Ononis spinosa ssp. spinosa;Buske;SANT;Ononis spinosa ssp. spinosa;30;80;Juni;Augusti;9;9. S Jun;2;07-juli;SANT;Ononis spinosa ssp. spinosa;Ja;Rosa;SANT;7. alltid full sol;5;5. mesisk–fuktig;7;7. circumneutral (pH 6.5–7.5);3;3. måttligt kvävefattig;3;3. trivs med genomsnittlig fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;7;7. starkt gynnad av betning/slåtter och försvinner inom några år om hantering upphör;3;3. förökar sig också i ostörd etablerad vegetation men är knappast konkurrenskraftig där och blir på sikt utkonkurrerad;4;långlivad perenn;1a;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar); ;Ingen data;1;kortlivad (upp till ett eller sällan två år);Expl;Ja;C3;AM;0;Nej;;;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Origanum vulgare L.;Lamiaceae;kungsmynta;221738;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;6;8;8. zon 6;3;;6;4;6;Origanum vulgare L.;Ört;SANT;Origanum vulgare L.;30;100;Juli;September;10;10. B Jul;3;22-juli;SANT;Origanum vulgare L.;Ja;Rosa;SANT;6. sol, men tål viss skugga;2;2. torr;6;6. subneutral–circumneutral;4;4. måttligt kvävefattig – måttligt kväverik;3;3. trivs med genomsnittlig fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;2;2. tål sporadisk betning/slåtter men inte regelbunden/upprepad;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn;2;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar); ;Ingen data;3;långlivad (5–25 år);Passive;Nej;C3;AM;0;Nej;;;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0
Parnassia palustris L.;Celastraceae;slåtterblomma;221929;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;4;2;2. mellan-alpinzon;4;;10;5;6;Parnassia palustris L.;Ört;SANT;Parnassia palustris L.;10;50;Juli;Augusti;11;11. S Jul;4;06-aug.;SANT;Parnassia palustris L.;Ja;Vit;SANT;6. sol, men tål viss skugga;8;8. våt;7;7. circumneutral (pH 6.5–7.5);1;1. mkt kvävefattigt;2;2. missgynnas av hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;6;6. starkt gynnad av regelbunden betning/slåtter, men tål några år utan hantering;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn;2;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar);2;ej vilande eller med icke-djup fysiologisk eller fysikalisk viloläge, gror 10–30 dagar efter sådd;2;kortvarig (1–5 år);Passive;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedicularis palustris L.;Orobanchaceae;kärrspira;221759;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;5;3;3. låg-alpinzon;4;;10;6;6;Pedicularis palustris L.;Ört;SANT;Pedicularis palustris L.;20;100;Juni;Augusti;8;8. B Jun;1;22-juni;SANT;Pedicularis palustris L.;Ja;Rosa;SANT;6. sol, men tål viss skugga;9;9. våt – tillfälligt översvämmad;7;7. circumneutral (pH 6.5–7.5);5;5. måttligt kväverik;3;3. trivs med genomsnittlig fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;6;6. starkt gynnad av regelbunden betning/slåtter, men tål några år utan hantering;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;2;tvåårig eller åtminstone döende efter blomning (hapaxant);1a;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar); ;Ingen data;2;kortvarig (1–5 år);Passive;Nej;C3;None;0;Ja;;;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Persicaria amphibia (L.) Delarbre;Polygonaceae;vattenpilört;221909;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;3;7;7. zon 7;2;;6;6;6;Persicaria amphibia (L.) Delarbre;Ört;SANT;Persicaria amphibia (L.) Delarbre;20;100;Juni;Augusti;10;10. B Jul;3;22-juli;SANT;Persicaria amphibia (L.) Delarbre;Ja;Rosa;SANT;6. sol, men tål viss skugga;8;8. våt;7;7. circumneutral (pH 6.5–7.5);7;7. mycket kväverik;5;5. begränsad till jordar med hög fosfortillgång;2;måttligt salttolerant, men föredrar icke-salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn;1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer;4;med mellanliggande eller djup fysiologisk eller morfofysiologisk viloläge, gror endast efter minst en period av > 35 dagar med kallstratifiering;1;kortlivad (upp till ett eller sällan två år);Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
